epoch,train_loss,val_loss,val_iou,val_dice
1,0.545520,0.301184,0.401233,0.536904
2,0.416795,0.276196,0.440042,0.578919
3,0.394622,0.259144,0.492526,0.625908
4,0.385533,0.261127,0.479929,0.613314
5,0.374765,0.252153,0.489863,0.621884
6,0.371890,0.240097,0.510283,0.640741
7,0.369568,0.234036,0.503289,0.633526
8,0.363152,0.237764,0.519961,0.646970
9,0.362119,0.228957,0.507197,0.636986
10,0.357460,0.245758,0.507246,0.636335
11,0.355189,0.238980,0.490433,0.625330
12,0.355430,0.240690,0.506574,0.635606
13,0.355631,0.246137,0.504088,0.632040
14,0.349699,0.244801,0.489406,0.621760
15,0.343856,0.234953,0.504317,0.634029
16,0.343667,0.235558,0.490215,0.623392
