epoch,train_loss,val_loss,val_iou,val_dice
1,0.526416,0.328387,0.355109,0.494428
2,0.411140,0.264661,0.454305,0.593438
3,0.386009,0.238042,0.509825,0.641092
4,0.374209,0.248191,0.489015,0.622767
5,0.366668,0.240678,0.501132,0.631382
6,0.357862,0.240154,0.492237,0.626991
7,0.358755,0.237431,0.505149,0.632749
8,0.350953,0.236020,0.516092,0.642960
9,0.348407,0.232912,0.507705,0.636499
10,0.346620,0.244787,0.498447,0.628573
11,0.344411,0.226895,0.510198,0.640301
12,0.343303,0.236979,0.502879,0.631693
13,0.343015,0.240609,0.498483,0.628537
14,0.339393,0.245960,0.495519,0.626400
15,0.340753,0.234136,0.503185,0.633651
16,0.340270,0.228013,0.518408,0.646139
17,0.331038,0.238075,0.498625,0.628974
18,0.331768,0.227040,0.518269,0.645573
19,0.319822,0.299689,0.408177,0.550709
20,0.316382,0.240548,0.507357,0.635714
21,0.296870,0.225084,0.529469,0.655115
22,0.277716,0.272320,0.463804,0.599615
23,0.278075,0.228424,0.522813,0.650134
24,0.276923,0.231165,0.511096,0.640758
25,0.276751,0.245276,0.492091,0.624783
26,0.268699,0.222389,0.525752,0.651470
27,0.269113,0.233419,0.513769,0.641547
28,0.264272,0.228566,0.527786,0.653858
29,0.265231,0.226071,0.522768,0.648784
