epoch,train_loss,val_loss,val_iou,val_dice
1,0.617013,0.435510,0.322484,0.462762
2,0.435348,0.347093,0.357887,0.496323
3,0.392970,0.335465,0.357119,0.496585
4,0.381517,0.299600,0.404862,0.545053
5,0.374212,0.335293,0.351530,0.491199
6,0.363724,0.230331,0.514614,0.643492
7,0.348441,0.226045,0.514100,0.642886
8,0.340526,0.227051,0.511127,0.639984
9,0.339625,0.227785,0.519410,0.647155
10,0.330661,0.248275,0.497564,0.629149
11,0.298780,0.239483,0.502171,0.633292
12,0.283576,0.218743,0.533871,0.658651
13,0.276456,0.232045,0.512115,0.640493
14,0.262143,0.227013,0.519941,0.647383
15,0.254722,0.226461,0.517655,0.645614
16,0.246069,0.220998,0.528136,0.654692
17,0.240297,0.212521,0.544216,0.667511
18,0.236288,0.228297,0.514738,0.642753
19,0.225751,0.223084,0.518695,0.646286
20,0.220821,0.226520,0.524194,0.650874
21,0.228032,0.210020,0.548116,0.670249
22,0.217858,0.219980,0.526672,0.652876
23,0.215885,0.216804,0.534184,0.659180
24,0.211526,0.219577,0.529256,0.655113
25,0.197098,0.218697,0.533459,0.657963
26,0.208689,0.218918,0.528704,0.654847
27,0.189899,0.220119,0.530812,0.656192
28,0.202589,0.234374,0.517453,0.645339
29,0.182624,0.221022,0.528363,0.654265
