epoch,train_loss,val_loss,val_iou,val_dice
1,0.614023,0.556620,0.000000,0.000000
2,0.531058,0.500314,0.242937,0.361304
3,0.466984,0.295744,0.440368,0.583946
4,0.435354,0.307982,0.397618,0.538589
5,0.419118,0.274530,0.448046,0.589052
6,0.406892,0.297558,0.397929,0.544943
7,0.399117,0.276662,0.443114,0.584125
8,0.394381,0.253363,0.476445,0.612378
9,0.390211,0.246134,0.484824,0.619811
10,0.387229,0.236951,0.504033,0.635382
11,0.384862,0.241437,0.492752,0.625582
12,0.381972,0.251627,0.477776,0.612922
13,0.379171,0.265184,0.458900,0.596542
14,0.375256,0.239534,0.502159,0.631705
15,0.378714,0.247933,0.486171,0.620355
16,0.374776,0.250496,0.478506,0.614565
17,0.369608,0.239626,0.499348,0.630626
18,0.366984,0.231480,0.509267,0.638668
19,0.365521,0.237785,0.501856,0.632934
20,0.364487,0.240879,0.494656,0.626607
21,0.364948,0.242487,0.488831,0.621601
22,0.363647,0.233385,0.509640,0.638785
23,0.362282,0.233232,0.505915,0.635971
24,0.360865,0.234850,0.506346,0.636150
25,0.358683,0.230565,0.512008,0.640805
26,0.357252,0.232371,0.508464,0.637846
27,0.354704,0.232548,0.506159,0.635882
28,0.353987,0.229357,0.515306,0.643456
29,0.353667,0.235111,0.504326,0.634391
30,0.355577,0.232418,0.508509,0.638052
31,0.352657,0.230778,0.512358,0.640567
32,0.353868,0.231304,0.508179,0.637345
33,0.354258,0.232176,0.507406,0.636814
34,0.354710,0.234423,0.504520,0.634263
35,0.349188,0.232879,0.506177,0.635725
36,0.349296,0.229729,0.511365,0.639642
37,0.348638,0.232207,0.506514,0.635992
38,0.349234,0.229176,0.512249,0.640663
